title,url,type,date,views,main,additional,rating,comment
Карточная головоломка Конвея,https://proglib.io/p/risuem-programmiruya-mashinnaya-generaciya-hudozhestvennyh-uzorov-v-vektornyh-polyah-2020-02-06,головоломка,2020-02-06,,Головоломка,,5,
Задача о необычном замке,https://proglib.io/p/zadacha-o-vzlome-bankovskogo-zamka-s-semyu-rychazhkami-2020-02-12,головоломка,2020-02-12,,Головоломка,,5,
Алгоритмическая головоломка о лягушках,https://proglib.io/p/pryg-pryg-algoritmicheskaya-golovolomka-o-lyagushkah-2020-02-15,головоломка,2020-02-15,,Головоломка,,5,
Задача Сфинкса о разрезании лестниц,https://proglib.io/p/obygray-sfinksa-logicheskaya-golovolomka-o-razrezanii-lestnic-2020-02-19,головоломка,2020-02-19,,Головоломка,,5,
Собеседование и семь гномов: задачи с интервью в IT-компаниях,https://proglib.io/p/sobesedovanie-i-sem-gnomov-zadachi-s-intervyu-v-it-kompaniyah-2020-02-22,головоломка,2020-02-22,,Головоломка,трудоустройство,3,
50 русскоязычных YouTube-каналов о языках программирования,https://proglib.io/p/50-russkoyazychnyh-youtube-kanalov-o-yazykah-programmirovaniya-2020-04-22,подборка,2020-04-22,,"Видео, курсы, ссылки","YouTube, видео",4,
Бесплатные русскоязычные онлайн-курсы по IT-специальностям,https://proglib.io/p/superpodborka-bolee-70-besplatnyh-russkoyazychnyh-onlayn-kursov-po-it-specialnostyam-2020-03-25,подборка,2020-03-25,,"Видео, курсы, ссылки",курсы,5,
"Как написать код, который полюбят все",https://proglib.io/p/kak-napisat-kod-kotoryy-polyubyat-vse-2020-03-17,статья,2020-03-17,,Проектирование,,5,
"Как не «сгореть на работе», если ты программист",https://proglib.io/p/kak-ne-sgoret-na-rabote-esli-ty-programmist-2020-03-12,статья,2020-03-12,,Курьера,"работа, выгорание",4,
PICO-8 и TIC-80. Экскурсия в мир виртуальных консолей для создания ретро-игр,https://proglib.io/p/pico-8-i-tic-80-ekskursiya-v-mir-virtualnyh-konsoley-dlya-sozdaniya-retro-igr-2020-02-29,статья,2020-02-29,,GameDev,,4,
Как шифровать информацию с помощью роста кристаллов,https://proglib.io/p/kak-shifrovat-informaciyu-s-pomoshchyu-rosta-kristallov-2020-02-24,перевод,2020-02-24,,Шифрование,,4,
"100+ лекций экспертов Постнауки об анализе данных, ИИ, роботах, математике и сетях",https://proglib.io/p/100-videolekciy-ekspertov-postnauki-2020-02-16,подборка,2020-02-16,,"Видео, курсы, ссылки",,3,
Перезаряжаем терминал: GitHub CLI в действии,https://proglib.io/p/perezaryazhaem-terminal-github-cli-v-deystvii-2020-02-14,перевод,2020-02-14,,Контроль версий,GitHub,5,
Автостопом по TED: 42 ярких выступления на темы вблизи IT,https://proglib.io/p/avtostopom-po-ted-42-yarkih-vystupleniya-na-temy-vblizi-it-2020-02-11,подборка,2020-02-11,,"Видео, курсы, ссылки",,5,
"Рисуем, программируя. Машинная генерация художественных узоров в векторных полях",https://proglib.io/p/risuem-programmiruya-mashinnaya-generaciya-hudozhestvennyh-uzorov-v-vektornyh-polyah-2020-02-06,перевод,2020-02-06,,Программируемый арт,,5,
«Я тебя по IP вычислю»: как хакеры рассекречивают звенья цепи Tor,https://proglib.io/p/deanonimizaciya-cepochek-uzlov-tor-2020-02-04,перевод,2020-02-14,,Tor,,3,
"Графический приём, благодаря которому пользователи будут регистрироваться чаще",https://proglib.io/p/graficheskiy-priem-blagodarya-kotoromu-polzovateli-budut-registrirovatsya-chashche-2020-01-20,перевод,2020-01-20,,Дизайн,,3,
Хакинг мозга. Обработка сигналов мыслительной активности с интерфейсом OpenBCI,https://proglib.io/p/haking-mozga-obrabotka-signalov-myslitelnoy-aktivnosti-s-interfeysom-openbci-2020-01-20,перевод,2020-01-20,,Хакинг мозга,ЭЭГ,3,
Функциональный JavaScript: 6 образцов кода без цикла for,https://proglib.io/p/funkcionalnyy-javascript-6-obrazcov-koda-bez-cikla-for-2020-01-13,перевод,2020-01-13,,JavaScript,,3,
6 идей проектов выходного дня,https://proglib.io/p/6-idey-proektov-vyhodnogo-dnya-2020-01-11,перевод,2020-01-11,,Проект выходного дня,,5,
GitLab или GitHub? Как выбрать ресурс под определённый тип репозитория,https://proglib.io/p/gitlab-ili-github-kak-vybrat-resurs-pod-opredelennyy-tip-repozitoriya-2020-01-06,перевод,2020-01-06,,Контроль версий,"GitHub, GitLab",3,
20 тенденций в разработке программного обеспечения на 2020 год,https://proglib.io/p/20-tendenciy-v-razrabotke-programmnogo-obespecheniya-na-2020-god-2019-12-20,перевод,2019-12-20,,Тенденции,,2,
Безопасность прежде всего: как защитить Linux на сервере VPS,https://proglib.io/p/bezopasnost-prezhde-vsego-kak-zashchitit-linux-na-servere-vps-2019-12-04,перевод,2019-12-04,,Linux,,2,
Вебхуки: как получать данные без промедления и опросов API,https://proglib.io/p/vebhuki-kak-poluchat-dannye-bez-promedleniya-i-oprosov-api-2019-11-09,перевод,2019-12-09,,Web,,2,
Пишем простой граббер для Telegram чатов на Python,https://proglib.io/p/pishem-prostoy-grabber-dlya-telegram-chatov-na-python-2019-11-06,статья,2019-11-06,,Telegram,,2,
Читаемый код: 10 практик успешного написания,https://proglib.io/p/clean-code,перевод,2019-07-10,,Проектирование,,2,
Дайджест: 300 ссылок на обучающие ресурсы по программированию,https://proglib.io/p/300-programming-urls,подборка,2018-11-25,,"Видео, курсы, ссылки",,2,
"Карьерный рост: в чем разница между Junior, Middle и Senior?",https://proglib.io/p/junior-middle-senior,перевод,2018-09-23,,Карьера,,2,
"12 простых советов тем, кто самостоятельно учит математику",https://proglib.io/p/learn-math,статья,2018-09-15,,Математика,,5,
"9 гифок, наглядно иллюстрирующих дифференцируемость функции",https://proglib.io/p/diff,статья,2018-09-09,,Математика,,3,
Детальный план самообразования в Computer Science за полтора года,https://proglib.io/p/cs-learning,подборка,2018-05-03,,"Видео, курсы, ссылки",,5,
От новичка до профи в блокчейн-технологиях за 2 месяца,https://proglib.io/p/blockchain-plan,перевод,2018-04-08,,Блокчейн,,3,
Более 200 избранных ссылок на материалы о языке Go,https://proglib.io/p/golinks,подборка,2018-03-17,,Go,,4,
Как получить опыт и зарабатывать на Open Source проектах,https://proglib.io/p/open-source,перевод,2018-03-16,,Open source,,4,
Иллюстративный видеокурс математического анализа: 10 уроков,https://proglib.io/p/calculus,подборка,2018-02-25,,"Видео, курсы, ссылки",,4,
Иллюстративный видеокурс по линейной алгебре: 11 уроков,https://proglib.io/p/algebra,подборка,2018-02-09,,"Видео, курсы, ссылки",,4,
Как правильно искать и читать научные статьи?,https://proglib.io/p/research-papers,статья,2018-02-01,,"Видео, курсы, ссылки",,4,
Создаем первый смарт-контракт на Ethereum менее чем за 60 минут,https://proglib.io/p/smart-contract,перевод,2018-01-29,,Блокчейн,,3,
Импульсные нейронные сети: мозг в компьютере,https://proglib.io/p/spiking-neural-networks,перевод,2018-01-22,,Глубокое обучение,,2,
Как помочь ребенку выучить таблицу умножения,https://habr.com/ru/post/126043/,статья,2011-08-11,1000,Математика,,5,
