title,url,emoji,source,jupyter,colab,type,date,views,main,additional,rating,comment
Чеширский кот и число палиндромов,https://proglib.io/p/zagadka-cheshirskogo-kota-o-chisle-palindromov-2020-02-05,,,,,головоломка,2020-02-05,1597.0,Головоломка,,5.0,
Карточная головоломка Конвея,https://proglib.io/p/risuem-programmiruya-mashinnaya-generaciya-hudozhestvennyh-uzorov-v-vektornyh-polyah-2020-02-06,🖼️,https://tylerxhobbs.com/essays/2020/flow-fields,,,головоломка,2020-02-06,3089.0,Головоломка,,5.0,
Задача о необычном замке,https://proglib.io/p/zadacha-o-vzlome-bankovskogo-zamka-s-semyu-rychazhkami-2020-02-12,,,,,головоломка,2020-02-12,11856.0,Головоломка,,5.0,
Алгоритмическая головоломка о лягушках,https://proglib.io/p/pryg-pryg-algoritmicheskaya-golovolomka-o-lyagushkah-2020-02-15,,,,,головоломка,2020-02-15,2582.0,Головоломка,,5.0,
Задача Сфинкса о разрезании лестниц,https://proglib.io/p/obygray-sfinksa-logicheskaya-golovolomka-o-razrezanii-lestnic-2020-02-19,,,,,головоломка,2020-02-19,2163.0,Головоломка,,5.0,
Собеседование и семь гномов: задачи с интервью в IT-компаниях,https://proglib.io/p/sobesedovanie-i-sem-gnomov-zadachi-s-intervyu-v-it-kompaniyah-2020-02-22,,,,,головоломка,2020-02-22,6576.0,Головоломка,трудоустройство,3.0,
50 русскоязычных YouTube-каналов о языках программирования,https://proglib.io/p/50-russkoyazychnyh-youtube-kanalov-o-yazykah-programmirovaniya-2020-04-22,▶️🌟,,,,подборка,2020-04-22,21727.0,Общее,"YouTube, видео",4.0,
Бесплатные русскоязычные онлайн-курсы по IT-специальностям,https://proglib.io/p/superpodborka-bolee-70-besplatnyh-russkoyazychnyh-onlayn-kursov-po-it-specialnostyam-2020-03-25,👨‍🎓️🌟,,,,подборка,2020-03-25,71907.0,Общее,курсы,5.0,
"Как написать код, который полюбят все",https://proglib.io/p/kak-napisat-kod-kotoryy-polyubyat-vse-2020-03-17,🏗️🌟,,,,статья,2020-03-17,47980.0,Проектирование,,5.0,
"Как не «сгореть на работе», если ты программист",https://proglib.io/p/kak-ne-sgoret-na-rabote-esli-ty-programmist-2020-03-12,🏊,,,,статья,2020-03-12,9810.0,Курьера,"работа, выгорание",4.0,
PICO-8 и TIC-80. Экскурсия в мир виртуальных консолей для создания ретро-игр,https://proglib.io/p/pico-8-i-tic-80-ekskursiya-v-mir-virtualnyh-konsoley-dlya-sozdaniya-retro-igr-2020-02-29,🕹️👾,,,,статья,2020-02-29,2259.0,GameDev,,4.0,
Как шифровать информацию с помощью роста кристаллов,https://proglib.io/p/kak-shifrovat-informaciyu-s-pomoshchyu-rosta-kristallov-2020-02-24,💎,https://www.cell.com/matter/fulltext/S2590-2385(20)30024-2,,,перевод,2020-02-24,9113.0,Алгоритмы,,4.0,
"100+ лекций экспертов Постнауки об анализе данных, ИИ, роботах, математике и сетях",https://proglib.io/p/100-videolekciy-ekspertov-postnauki-2020-02-16,▶️,,,,подборка,2020-02-16,5380.0,Data Science,видео,3.0,
Перезаряжаем терминал: GitHub CLI в действии,https://proglib.io/p/perezaryazhaem-terminal-github-cli-v-deystvii-2020-02-14,🐈,,,,перевод,2020-02-14,3668.0,Контроль версий,GitHub,5.0,
Автостопом по TED: 42 ярких выступления на темы вблизи IT,https://proglib.io/p/avtostopom-po-ted-42-yarkih-vystupleniya-na-temy-vblizi-it-2020-02-11,▶️,,,,подборка,2020-02-11,4319.0,Общее,,5.0,
"Рисуем, программируя. Машинная генерация художественных узоров в векторных полях",https://proglib.io/p/risuem-programmiruya-mashinnaya-generaciya-hudozhestvennyh-uzorov-v-vektornyh-polyah-2020-02-06,🖼️,https://tylerxhobbs.com/essays/2020/flow-fields,,,перевод,2020-02-06,3089.0,Дизайн,,5.0,
«Я тебя по IP вычислю»: как хакеры рассекречивают звенья цепи Tor,https://proglib.io/p/deanonimizaciya-cepochek-uzlov-tor-2020-02-04,,https://www.hackerfactor.com/blog/index.php?/archives/868-Deanonymizing-Tor-Circuits.html,,,перевод,2020-02-14,25521.0,Общее,,3.0,
"Графический приём, благодаря которому пользователи будут регистрироваться чаще",https://proglib.io/p/graficheskiy-priem-blagodarya-kotoromu-polzovateli-budut-registrirovatsya-chashche-2020-01-20,🖼️,https://uxmovement.com/forms/improve-your-sign-up-form-with-off-white-text-fields/,,,перевод,2020-01-20,5955.0,Дизайн,,3.0,
Хакинг мозга. Обработка сигналов мыслительной активности с интерфейсом OpenBCI,https://proglib.io/p/haking-mozga-obrabotka-signalov-myslitelnoy-aktivnosti-s-interfeysom-openbci-2020-01-20,,,,,перевод,2020-01-20,2098.0,Хакинг мозга,ЭЭГ,3.0,
Функциональный JavaScript: 6 образцов кода без цикла for,https://proglib.io/p/funkcionalnyy-javascript-6-obrazcov-koda-bez-cikla-for-2020-01-13,,https://medium.com/better-programming/you-dont-need-loops-in-javascript-1dc8139eab4b,,,перевод,2020-01-13,5781.0,JavaScript,,3.0,
6 идей проектов выходного дня,https://proglib.io/p/6-idey-proektov-vyhodnogo-dnya-2020-01-11,🌟,http://web.eecs.utk.edu/~azh/blog/challengingprojects.html,,,перевод,2020-01-11,4735.0,Проект выходного дня,,5.0,
GitLab или GitHub? Как выбрать ресурс под определённый тип репозитория,https://proglib.io/p/gitlab-ili-github-kak-vybrat-resurs-pod-opredelennyy-tip-repozitoriya-2020-01-06,🦊😼,,,,перевод,2020-01-06,6034.0,Контроль версий,"GitHub, GitLab",3.0,
20 тенденций в разработке программного обеспечения на 2020 год,https://proglib.io/p/20-tendenciy-v-razrabotke-programmnogo-obespecheniya-na-2020-god-2019-12-20,📈,https://towardsdatascience.com/20-predictions-about-software-development-trends-in-2020-afb8b110d9a0,,,перевод,2019-12-20,6140.0,Тенденции,,2.0,
Безопасность прежде всего: как защитить Linux на сервере VPS,https://proglib.io/p/bezopasnost-prezhde-vsego-kak-zashchitit-linux-na-servere-vps-2019-12-04,📝,,,,перевод,2019-12-04,3849.0,Linux,,2.0,
Вебхуки: как получать данные без промедления и опросов API,https://proglib.io/p/vebhuki-kak-poluchat-dannye-bez-promedleniya-i-oprosov-api-2019-11-09,,,,,перевод,2019-12-09,15073.0,Web,,2.0,
